rr,il,ol,request_throughput,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms,output_throughput,completed,experiment,source_file
2,256,512,1.9929861605391592,55.887113218195736,12.167360943663082,3226.0057188523933,521.79367162156,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
4,256,512,3.8126576712573526,41.588639141991735,12.557711218720513,3317.83839576412,998.2109682002438,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr4_il256_ol512.jsonl
4,256,512,3.628367535389264,55.95702587161213,20.066393624887365,5273.926444663666,949.9610462779401,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr4_il256_ol512.jsonl
4,256,512,3.806593771710828,59.24236047547311,13.188797367449355,3502.958384859376,996.6233483404704,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
8,256,512,6.837430399522808,43.8613443588838,14.019713137802032,3705.866703093052,1790.141840051064,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr8_il256_ol512.jsonl
8,256,512,6.215669119379848,57.08731461316347,21.72594790958592,5674.258637786843,1627.3554104904351,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr8_il256_ol512.jsonl
8,256,512,6.754735555317058,66.02338909171522,15.126648325342597,4029.8959934944287,1768.4910894153356,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
12,256,512,9.106679372082448,46.417195750400424,15.647779460769305,4123.51197199896,2384.265259801766,200,Non-PD DP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_dp2_sweep_20260611/sglang-oai_nonpd_dp2_rr12_il256_ol512.jsonl
12,256,512,8.06959806815903,61.780074541457,23.973192099034712,6144.713713531382,2112.7418182150564,200,Non-PD TP=2,/mnt/nfs02/users/tjiang/Gitrepo/sglang/non_pd_tp2_sweep_20260611/sglang-oai_nonpd_tp2_rr12_il256_ol512.jsonl
12,256,512,8.850987426785725,73.93926416523755,16.124737423864957,4297.978409719653,2317.3212731439044,200,PD-separated,/mnt/nfs02/users/tjiang/Gitrepo/sglang/real_pd_sweep_20260610_flush_cache/summary_metrics_flush_cache.csv
