framework,version,device,op_name,kernel_source,phase,batch_size,seq_len,num_tokens,d_model,d_conv,num_k_heads,head_k_dim,num_v_heads,head_v_dim,model_name,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_update,generation,32,1,32,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.00421760007739067
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,1024,4096,2560,4,16,128,32,128,Qwen/Qwen3.5-4B,0.014217600226402283
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,2,2,4,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.010441599786281586
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,128,512,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.012630400061607362
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,fused_recurrent_gated_delta_rule,generation,32,1,32,2048,4,16,128,32,128,Qwen/Qwen3.5-35B-A3B,0.025526401400566102
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,2,4,8,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.010518400371074677
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,256,1024,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.013084800541400909
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,2,8,16,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.008495999872684479
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,2,16,32,5120,4,16,128,48,128,Qwen/Qwen3.5-27B,0.008441600203514098
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,gdn,causal_conv1d_fn,context,4,512,2048,4096,4,16,128,32,128,Qwen/Qwen3.5-9B,0.01419840008020401
