framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,7,0.010407999902963639
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,1023,0.7708176136016845
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,7,0.010467199981212616
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,31,0.010407999902963639
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,1,0.010332799702882766
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,31,0.010998400300741196
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,63,0.012467200309038163
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,63,0.012371200323104858
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,127,0.016601599752902985
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,127,0.014470399916172027
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,255,0.020796799659729005
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,float16,2047,1.5356207847595216
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,255,0.016704000532627106
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,511,0.028417599201202393
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,15,0.010424000024795533
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,1023,0.05924959778785706
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,2047,0.7907999992370606
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,1023,0.034985598921775815
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,2047,0.21270399093627929
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,float16,15,0.010449600219726563
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,1,0.08619040250778198
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,3,0.08620640039443969
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,1,0.08620319962501526
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,32,1,64,64,128,1,float16,fp8,1023,0.40358400344848633
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,3,0.08620160222053527
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,7,0.08619359731674195
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,7,0.08734080195426941
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,15,0.08785759806632995
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,31,0.11689759492874145
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,64,1,64,64,128,1,float16,fp8,2047,1.4658111572265624
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,31,0.08821600079536437
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,63,0.23069438934326172
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,63,0.11363040208816529
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,15,0.08762239813804626
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,2047,0.06760159730911255
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,4,1,64,64,128,1,float16,fp8,511,0.020654399693012238
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,127,0.2335808038711548
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,255,0.7405231952667236
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,255,0.4054863929748535
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,1,0.16431839466094972
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,1,0.17004640102386476
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,3,0.16806880235671998
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,3,0.16663999557495118
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,511,1.4453280448913575
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,7,0.16921119689941405
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,float16,127,0.4006591796875
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,15,0.16606080532073975
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,128,1,64,64,128,1,float16,fp8,511,0.7446127891540527
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,31,0.27905759811401365
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,31,0.18661919832229615
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,63,0.2833328008651733
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,fp8,7,0.1680016040802002
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,63,0.45671839714050294
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,15,0.18448799848556519
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,256,1,64,64,128,1,float16,float16,127,0.8043120384216309
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,float16,1,0.32931840419769287
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,generation_attention,triton,512,1,64,64,128,1,float16,fp8,1,0.32542080879211427
