framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,128,16,0.006550399959087372
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,128,32,0.014627200365066529
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,80,2,0.007116799801588058
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,48,2,0.006729599833488464
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,128,16,0.010704000294208527
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,128,8,0.004518400132656098
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,128,8,0.008432000130414962
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,128,4,0.006534399837255478
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,128,2,0.004156799986958504
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,128,2,0.007494399696588517
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,96,32,0.008528000116348267
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,128,0.03731200098991394
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,160,128,0.04520959854125976
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,64,0.020771199464797975
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,160,64,0.026841598749160766
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,32,0.010694400221109391
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,16,0.008336000144481659
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,8,0.006319999694824219
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,160,8,0.008739200234413148
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,160,4,0.008336000144481659
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,2,0.004108799993991852
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,160,2,0.008303999900817871
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,160,1,0.004025600105524063
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,fp8,160,1,0.006547199934720993
SGLang,0.5.10,NVIDIA RTX PRO 6000 Blackwell Server Edition,mla_gen_pre,default,float16,192,128,0.037615999579429626
